DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;IsRanged;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset;stunBreakoutIncrementer;DamageGuildAndGroup
Slash_L;Unarmed;0;0;Bullet;Light;Slash;false;;false;Deflect_Default;false;0.699999988079071;1;1;0;1;0;10;5;10;0;0.800000011920929;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.15000000596046448;1;0;;false
Slash_R;Unarmed;0;0;Bullet;Light;Slash;false;;false;Deflect_Default;false;0.699999988079071;1;1;0;1;0;10;5;10;0;0.800000011920929;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.15000000596046448;1;0;;false
Burrow;Unarmed;0;0;Bullet;Heavy;Strike;false;;false;Deflect_Default;false;1.149999976158142;1;1;3;3;3;40;40;40;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.4000000059604645;1;0;;false
Hurl_Boulder;Unarmed;1;0;Bullet;Heavy;Strike;false;;false;Deflect_Default;false;1.149999976158142;1;1;4;4;4;10;5;10;0;8;0;0.800000011920929;0;8;0;0.800000011920929;0;8;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.800000011920929;1;0;;false
Hurl_Boulder_NPC;Unarmed;1;0;Bullet;Heavy;Strike;false;;false;Deflect_Default;false;1;1;1;4;4;4;10;5;10;0;12;0;0.800000011920929;0;12;0;0.800000011920929;0;12;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.800000011920929;1;0;;true
Massive_AOE_Structure;Unarmed;1;0;Bullet;Heavy;Slash;false;;false;Deflect_Default;false;1000;1000;1;0;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.30000001192092896;1;0;;true
Massive_AOE;Unarmed;1;0;Bullet;Heavy;Nature;false;StatusEffect_Boss_Teamwipe;false;Deflect_Default;false;100;100;1;4;4;4;10;5;10;0;10;0;0.800000011920929;0;10;0;0.800000011920929;0;5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;10;1;0;;false
Overhead_Smash;Unarmed;0;0;Bullet;Heavy;Strike;false;;false;Deflect_Default;false;1.350000023841858;1.5;1;5;5;4;40;40;40;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;5;1;0;;false
AOE_Pool;Unarmed;0;0;Bullet;Light;Nature;false;;false;Deflect_Default;false;0.5;1;1;0;0;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.30000001192092896;1;0;;false
Siren_Scream;Unarmed;0;0;Bullet;Heavy;Nature;false;;false;Deflect_Default;false;1.399999976158142;1;1;4;4;4;20;20;20;0;6;0;0.800000011920929;0;6;0;0.800000011920929;0;3;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.6000000238418579;1;0;;false
Projectile_Shot;Unarmed;0;0;Bullet;Light;Strike;true;AI_Disease;true;Deflect_Default;false;0.3499999940395355;1;1;3;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.4000000059604645;1;0;;false
Homing_Projectile;Unarmed;0;0;Bullet;Heavy;Nature;false;;false;Deflect_Default;false;0.30000001192092896;1;1;0;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.5;1;0;;false
Apply_Poison;Unarmed;1;1;Bullet;Light;Nature;false;AI_Naga_AngryEarth_Channel_Poison;false;Deflect_Default;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;Small;0;0;0;0;;false
Fall;Fall;1;1;Bullet;;Falling;false;;false;;false;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;1;0;;false
Reaction_Breakout;Fall;1;1;Bullet;;Falling;false;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;Small;1;0;0;0;;false
