StatusID;BaseDamageModifier;DurabilityMod;AfflictionDamage;StaminaDamageModifier;StaminaCostID;StaminaCostMultiplier;EffectDurationMultiplier;EffectModMultiplier;UseCountMultiplier;Encumbrance;AfflictionMultiplier;WeightMultiplier;GatheringEfficiency;AppendToTooltip;BaseDamageType;DamageType;DamagePercentage;AdditionalDamage;IsAdditiveDamage;StatusEffect;HealMod;HealthRate;MaxHealthMod;StaminaRate;MaxStaminaMod;ManaRate;MaxManaMod;MoveSpeedMod;FastTravelEncumbranceMod;FishRarityRollModifier;FishSizeRollModifier;MaxCastDistance;FishingLineStrength;AttributeModifiers;MODConstitution;MODFocus;MODStrength;MODDexterity;MODIntelligence;UseWeaponAttributeScaling;PreferHigherScaling;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingFocus;ABSStandard;ABSSiege;ABSStrike;ABSSlash;ABSThrust;ABSArcane;ABSIce;ABSNature;ABSFire;ABSLightning;ABSCorruption;ABSVitalsCategory;RESBlight;RESCurse;BLAStandard;BLASiege;BLAStrike;BLASlash;BLAThrust;BLAArcane;BLAFire;BLAIce;BLANature;BLALightning;BLACorruption;ABAPoison;ABADisease;ABABleed;ABAFrostbite;ABACurse;WKNStandard;WKNSiege;WKNStrike;WKNSlash;WKNThrust;WKNArcane;WKNFire;WKNIce;WKNNature;WKNLightning;WKNCorruption;DMGStandard;DMGSiege;DMGStrike;DMGSlash;DMGThrust;DMGArcane;DMGFire;DMGIce;DMGNature;DMGLightning;DMGCorruption;DMGVitalsCategory;AFAPoison;AFADisease;AFABleed;AFAFrostbite;AFACurse;WeaponEffectType
ArmorSoldier1;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;1-5;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
ArmorSoldier2;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;5-10;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
ArmorSoldier3;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;10-15;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
ArmorSoldier4;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;15-25;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
OneHandSoldier1;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;1-3;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
OneHandSoldier2;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;3-6;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
OneHandSoldier3;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;6-10;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
OneHandSoldier4;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;10-15;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
TwoHandSoldier1;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;2-6;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
TwoHandSoldier2;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;6-12;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
TwoHandSoldier3;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;12-20;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
TwoHandSoldier4;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;20-30;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
ArmorFighter1;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;1-3;0-2;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
ArmorFighter2;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;3-6;2-4;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
ArmorFighter3;0;0;;0;;;;;0;0;;0;0;;;;0;;false;;;;0;0;0;0;0;;0;0;0;0;0;;;;6-9;4-6;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
