DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Undead_1H_Melee_Light;Sword;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;1;0;20;15;20;0;0.75;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_1H_Melee_Primary;Sword;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;1;0;20;15;20;0;0.75;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_1H_Melee_Heavy;Sword;0;0;false;Bullet;Heavy;Thrust;;;;;;false;Deflect_Default;false;1.6299999952316284;1;1.6299999952316284;3;3;3;30;30;30;0;1.25;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.25;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;3;0.44999998807907104;1;1
Undead_2H_GreatAxe_Melee_Light;Axe;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;1.9800000190734863;1;1.9800000190734863;0;1;0;20;15;20;0;1.5499999523162842;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.5499999523162842;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_GreatAxe_Melee_Medium;Axe;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;3.1500000953674316;1;3.1500000953674316;0;2;0;20;15;20;0;1.5499999523162842;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.5499999523162842;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_GreatAxe_Melee_Heavy;Axe;0;0;false;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;3.6500000953674316;1;3.6500000953674316;3;3;3;20;30;20;0;1.5499999523162842;0;0.800000011920929;0;1;0.44999998807907104;0.800000011920929;0;1.5499999523162842;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;3;0.699999988079071;1;1
Undead_Shield_Bash;Shield;0;0;false;Bullet;Heavy;Strike;;;;;AI_Disease;true;Deflect_Default;false;0.75;1;0.75;3;3;3;20;30;20;0;3;0;0.800000011920929;0;1.5;0;0.800000011920929;0;3;0;0.800000011920929;0;0.5;;1;Small;Small;Small;4;0.699999988079071;1;1
UndeadVillager_1H_Melee_Primary;Sword;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;1;0;20;15;20;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;0;0.33000001311302185;1;1
Undead_2H_Melee_Primary;Axe;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;1;0;20;15;20;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.20000000298023224;1;1
Undead_2H_Melee_Spear;Spear;0;0;false;Bullet;Light;Thrust;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;2;0;20;15;20;0;1.25;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.25;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.10000000149011612;1;1
Undead_2H_Melee_Spear_Heavy;Spear;0;0;false;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;1.9500000476837158;1;1.9500000476837158;3;3;3;20;30;20;0;1.25;0;0.800000011920929;0;1;0.44999998807907104;0.800000011920929;0;1.25;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;3;0.15000000596046448;1;1
UndeadVillager_2H_Melee_Primary;Axe;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;1;0;20;15;20;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_Unarmed_Kick;Unarmed;0;0;false;Bullet;Heavy;Strike;;;;;;false;;false;0.8799999952316284;1;0.8799999952316284;2;2;2;30;20;30;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_1H_Melee_Alternate;Sword;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;2;2;2;15;10;15;0;0.75;0;0.800000011920929;0;0.5;0;0;0;0.75;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_Melee_Alternate;Sword;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;0;1;0;20;15;20;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_Melee_Heavy;Sword;0;0;false;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;1.7000000476837158;1;1.7000000476837158;3;3;3;20;30;20;0;0;0;0.800000011920929;0;1;0.44999998807907104;0.800000011920929;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.9900000095367432;1;1
Undead_1H_Sword_Attack1;Sword;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.5;1;0.5;1;2;1;16;15;16;0;1;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_Ranged_Musket;Musket;0;0;true;Bullet;Light;Thrust;;;;;;false;Deflect_Default;false;1.5099999904632568;1;1.5099999904632568;0;0;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_Ranged_Melee_Knockdown;Musket;0;0;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.699999988079071;1;0.699999988079071;3;3;3;25;20;25;0;1.75;0;0.800000011920929;0;0;0;0.800000011920929;0;1.75;0;0.800000011920929;0;1.5;;1.75;Small;Small;Small;3;0.33000001311302185;1;1
Undead_2H_Ranged_Bow;Bow;0;0;true;Bullet;Light;Thrust;;;;;;false;Deflect_Default;false;1.2799999713897705;1;1.2799999713897705;0;1;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
