DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Fall;Fall;1;1;;Bullet;;Falling;;;;;;false;;false;1;0;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;0;0;1;1
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;;;;false;;false;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;Small;Small;Small;1;0;0;1
Elite_GRIT;Sword+Fire;0;0;;Bullet;;Standard;;;;;;false;Deflect_Default;false;0;0;;1;1;1;20;15;20;0;0;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0;0;0.800000011920929;0;1.9500000476837158;;10;Small;Small;Small;0;0;1;1
Attack_SwipeL_01;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.25;1;;0;1;0;14;16;14;-0.3499999940395355;1.649999976158142;0;0.6800000071525574;-0.550000011920929;1.5;0;0.6600000262260437;-0.3499999940395355;1.649999976158142;0;0.6800000071525574;0;0;;0;Small;Small;Small;1;0.23000000417232513;1;0
Attack_SwipeL_02;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.28999999165534973;1;;0;1;0;18;16;18;0;1.5;0;0.6800000071525574;-0.44999998807907104;1.5499999523162842;0;0.6800000071525574;0;1.5;0;0.6800000071525574;0;0;;0;Small;Small;Small;1;0.23999999463558197;1;0
Attack_SwipeR_01;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.30000001192092896;1;;0;1;0;16;18;16;0.5;1.850000023841858;0;0.6899999976158142;0.6499999761581421;1.649999976158142;0;0.699999988079071;0.5;1.850000023841858;0;0.6899999976158142;0;0;;0;Small;Small;Small;1;0.28999999165534973;1;0
Attack_SwipeR_02;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.30000001192092896;1;;0;1;0;18;17;18;0;1.399999976158142;0;0.6700000166893005;0.550000011920929;1.4500000476837158;0;0.699999988079071;0;1.399999976158142;0;0.6700000166893005;0;0;;0;Small;Small;Small;1;0.25;1;0
Attack_Stab_01;Sword+Fire;0;0;;Bullet;Light;Thrust;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.3499999940395355;1;;0;2;0;16;26;16;0;2.4000000953674316;0;0.699999988079071;0;2.0999999046325684;0;0.699999988079071;0;2.4000000953674316;0;0.699999988079071;0;0;;0;Small;Small;Small;1;0.2800000011920929;1;0
Attack_Stab_02;Sword+Fire;0;0;;Bullet;Light;Thrust;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.3700000047683716;1;;0;2;0;19;26;19;0;2.1500000953674316;0;0.6800000071525574;0;2;0;0.699999988079071;0;2.1500000953674316;0;0.6800000071525574;0;0;;0;Small;Small;Small;1;0.2800000011920929;1;0
Attack_Double_Spin_Combo;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_50;;false;Deflect_Default;false;0.1899999976158142;1;;0;1;0;13;18;13;0;1.149999976158142;0;0.699999988079071;0;1;0;0.7099999785423279;0;1.149999976158142;0;0.699999988079071;0;0;;0;Small;Small;Small;1;0.17000000178813934;1;0
