SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
AI_FrostAura;FrozenGhost_FrostAura;;;false;true;true;true;false;false;false;false;false;;;true;true;;false;-1;;5;0;5;0;0;0;0;0;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;true;false;false;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Characters/SpellSlices/Elite_frostaura;;;;
AI_Orbit;;;;false;true;true;true;false;false;true;false;false;;;true;true;;false;-1;;0;0;0.5;0;0;0;0;1;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;false;true;true;;;;0;0;0;0;0;0;0;0;0;0;0;0;;EliteAffixDamageTable;Orbit;;;;;Characters/SpellSlices/Elite_orbit;;;;
AI_Turret;;;;false;true;true;true;false;false;true;false;false;;;true;true;;false;-1;;0;0;0.5;0;0;0;0;1;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;false;true;true;;;;0;0;0;0;0;0;5;0;0;0;0;0;;EliteAffixDamageTable;WispTurret;;;;;Characters/SpellSlices/Elite_wisp_turret;;;;
AI_ProjectileShield;;;;false;true;true;false;false;false;true;false;false;;;true;true;;false;-1;;0;0;0.5;0;0;0;0;1;0;0;0;0;0;0;false;0;0;0;;;true;true;Enemy;Elemental;AoE;false;;Sphere;;false;false;true;true;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Characters/SpellSlices/Elite_projectile_shield;;;;
AI_RotatingBeam;AI_RotatingBeam_Damage;;;false;true;true;true;false;false;true;false;false;;;true;true;;false;-1;;1.5;0;0;0;0;0;12;20;5;0;0;0;0;0;false;0;0;5000;;;false;false;Enemy;Elemental;Meteor;false;;;;false;true;false;false;AI_Ranged_AOE;Meteor;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Characters/SpellSlices/spell_meteor_spawn_elite;Characters/SpellSlices/Elite_rotatingbeam;;;
AI_Geyser;;;;false;false;false;false;false;false;true;false;false;;;true;true;;false;-1;;1.5;0;0;0;0;0;12;20;0;0;0;0;0;0;false;0;0;5000;;;false;false;Enemy;Elemental;Meteor;false;;;;false;true;false;false;AI_Ranged_AOE;Meteor;;0;0;0;0;0;0;0;0;0;0;0;0;;EliteAffixDamageTable;Geyser;;;;;Characters/SpellSlices/spell_meteor_spawn_elite;Characters/SpellSlices/Elite_Geyser;;;
AI_Slime;;;;false;false;false;false;false;false;false;false;false;;;true;true;;false;-1;;5;0;1;0;0;0;0;5;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;Burnout;false;;Sphere;;false;false;false;false;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Items/Weapons/spell_aoe_leadership;;AI_Slime_Spawn;;
AI_Slime_Spawn;AI_Slime_Slow;;;false;false;false;false;false;false;false;false;false;;;true;true;;false;8500;;5;0;2;0;0;0;2;5;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;false;false;false;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Characters/SpellSlices/Elite_slime;;;;
AI_Haunted;;;;false;false;false;false;false;false;false;false;false;;;true;true;;false;-1;;0;0;0.5;0;0;0;0;1;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;false;false;false;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Characters/Ghost_Minion;;;;
AI_Explosion;;;;false;false;false;false;false;false;false;false;false;;;true;true;;false;5000;;5;0;5;0;0;0;0;0;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;true;false;false;;;;0;0;0;0;0;0;0;0;0;0;0;0;;EliteAffixDamageTable;Explosion;;;;;Characters/SpellSlices/Elite_Explosion;;;;
AI_Corruption_Explosion;;;;false;false;false;false;false;false;false;false;false;;;true;true;;false;5000;;5;0;5;0;0;0;0;0;0;0;0;0;0;0;false;0;0;0;;;false;false;Enemy;Elemental;AoE;false;;Sphere;;false;true;false;false;;;;0;0;0;0;0;0;0;0;0;0;0;0;;EliteAffixDamageTable;Corruption_Explosion;;;;;Characters/SpellSlices/Elite_Corruption_Explosion;;;;
