DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Drowned_Miner_Bomb;Sword;0;1;true;Bullet;Light;Fire;;;;Deflect_Default;false;0;1;1;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;;0;Small;Small;4;0;1;1
Drowned_Miner_Bomb_Explosion;Sword;0;0;true;Bullet;Magic;Fire;;;;Deflect_Default;false;1;1;1;3;3;3;30;30;30;0;2.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0.699999988079071;;0;Small;Small;4;1;1;1
Drowned_Miner_Molotov_Explosion;Sword;0;0;true;Bullet;Magic;Fire;;UndeadGrenadier_Burn;;Deflect_Default;false;0.30000001192092896;1;1;2;2;2;25;20;25;0;0.25;0;0.800000011920929;0;0.10000000149011612;0;0.800000011920929;0;0.25;0;0.800000011920929;0;0.699999988079071;;0;Small;Small;4;0.699999988079071;1;1
Drowned_Miner_Disease_Bottle;Sword;0;0;true;Bullet;Heavy;Strike;;;;Deflect_Default;false;0.699999988079071;1;1;2;2;2;25;20;25;0;0.25;0;0.800000011920929;0;0.10000000149011612;0;0.800000011920929;0;0.25;0;0.800000011920929;0;0.5;;0;Small;Small;4;0.800000011920929;1;1
Drowned_Miner_Breakout;Torch;0;0;false;Bullet;Heavy;Fire;;;;Deflect_Default;false;0.4000000059604645;1;1;3;3;3;30;30;30;0;3.5;0;0.800000011920929;0;2;0;0.800000011920929;0;3.5;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;3;2;1;1
Drowned_Miner_Breakout_Explosion;Torch;0;0;true;Bullet;Magic;Fire;;;;Deflect_Default;false;0.4000000059604645;1;1;3;3;3;30;30;30;0;3.5;0;0.800000011920929;0;2.5;0;0.800000011920929;0;3.5;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;3;0.800000011920929;1;1
Drowned_Miner_Breakout_Explosion_Self;Torch;0;0;true;Bullet;Magic;Fire;;;;Deflect_Default;false;0.10000000149011612;1;1;3;3;3;30;30;30;0;3.5;0;0.800000011920929;0;2.5;0;0.800000011920929;0;3.5;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;3;2;1;1
Drowned_Miner_Torch_Swing;Torch;0;0;false;Bullet;Light;Fire;;;;Deflect_Default;false;0.20000000298023224;1;1;0;0;0;15;10;15;0;0.699999988079071;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;0.20000000298023224;;0.6000000238418579;Small;Small;3;0.20000000298023224;1;0
Undead_Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;;3;0;0;1
Drowned_Miner_Bomb_Explosion_POI;Sword;0;0;true;Bullet;Magic;Fire;;;;Deflect_Default;false;0.009999999776482582;1;1;3;3;3;30;30;30;0;3;0;0.800000011920929;0;2;0;0.800000011920929;0;3;0;0.800000011920929;0;0.699999988079071;;0;Small;Small;4;1;1;1
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;;3;0;0;1
