DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;DeflectDamageID;Affixes;StatusEffect;EffectOnlyOnDamage;Unblockable;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;AddDmg;StaminaDmg;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;TargetCameraShakeID;CritTargetCameraShakeID;StunBreakoutIncrement
Attack_Swipe_R;GhostMelee;0;0;false;Bullet;Magic;Arcane;;;;;;FALSE;0.3499999940395355;1;1;0;0;0;15;10;15;0;0.699999988079071;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0.30000001192092896;;0;0;0;1;0.20000000298023224;1;;;0
Attack_Flurry;GhostMelee;0;0;false;Bullet;Magic;Arcane;;;;;;FALSE;0.25;1;1;0;0;0;15;10;15;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0.15000000596046448;;0;0;0;1;0.15000000596046448;1;;;0
Attack_Overhead;GhostMelee;0;0;false;Bullet;Magic;Arcane;;;;;;FALSE;0.800000011920929;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0.4000000059604645;;1;0;0;1;0.4000000059604645;1;;;1
Spell_Shackled_Curse_Shot;GhostSpell_Shackled;0;0;true;Bullet;Magic;Arcane;;;ShackledGhost_Doom;TRUE;;FALSE;0.4000000059604645;1;1;2;2;2;25;25;25;0;0.5;0;0.800000011920929;0;0.30000001192092896;0;0.800000011920929;0;0.5;0;0.800000011920929;0.4000000059604645;;1.7999999523162842;0;0;1;0.4000000059604645;1;;;0
Spell_Shackled_No_Escape;GhostSpell_Curse;1;0;true;Bullet;Magic;Arcane;;;ShackledGhost_Doom;;TRUE;FALSE;0;1;1;2;2;2;25;25;25;0;0.5;0;0.800000011920929;0;0.30000001192092896;0;0.800000011920929;0;0.5;0;0.800000011920929;1;;1.7999999523162842;0;0;1;1;1;;;0
Spell_Shackled_Flight;GhostMelee;0;0;false;Bullet;Magic;Arcane;;;;;;FALSE;0.699999988079071;1;1;0;0;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0.5;;10;0;0;1;10;1;;;0
Reaction_Breakout_Attack;GhostMelee;0;0;false;Bullet;Magic;Arcane;;;;;;FALSE;0.699999988079071;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0.6000000238418579;;10;1;0;1;0.6000000238418579;1;;;1
Attack_Thrust;GhostMelee;0;0;false;Bullet;Magic;Arcane;;;;;;FALSE;1.2999999523162842;1;0;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0.3499999940395355;;1;0;0;1;0.3499999940395355;1;;;1
Deflect_Default;GhostMelee;1;0;false;;;Deflect;;;;;;FALSE;0;0;0;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;;0;0;0;0;1;1;;;1
Fall;Fall;1;1;false;Bullet;;Falling;;;;;;FALSE;1;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;1;;;1
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;0;0;1;0;0;;;1
