DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Damned_2H_Ranged_Bow;Bow;0;0;true;Bullet;;Thrust;;;false;Deflect_Default;false;0.3499999940395355;1;1;0;1;0;10;5;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.10000000149011612;1;0
Dryad_Fast_Ranged;Bow;0;0;true;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.25;1;1;0;1;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.33000001311302185;1;0
Dryad_Charged_Ranged;Bow;0;0;true;Bullet;Light;Nature;;AI_Poison_55;true;Deflect_Default;false;1;1;1;0;1;0;15;5;15;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.800000011920929;1;1
Dryad_Fast_Melee;Bow;0;0;false;Bullet;Light;Strike;;;false;Deflect_Default;false;0.6499999761581421;1;1;0;1;0;15;10;15;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;Small;3;0.33000001311302185;1;0
Dryad_Charged_Melee;Bow;0;0;false;Bullet;Heavy;Strike;;AI_Poison_55;true;Deflect_Default;false;1.100000023841858;1;1;3;3;3;30;35;30;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;Small;4;0.800000011920929;1;1
Dryad_Triple_Shot;Bow;0;0;true;Bullet;;Thrust;;;false;Deflect_Default;false;0.5;1;1;0;1;0;15;10;15;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.20000000298023224;1;0
Dryad_Fast_Ranged2;Bow;0;0;true;Bullet;;Thrust;;;false;Deflect_Default;false;0.30000001192092896;1;1;0;1;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.33000001311302185;1;1
Dryad_Fast_Ranged3;Bow;0;0;true;Bullet;;Thrust;;;false;Deflect_Default;false;0.6000000238418579;1;1;0;1;0;15;10;15;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.33000001311302185;1;1
Swamp_Archer_Fast_Ranged;Bow;0;0;true;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.25;1;1;0;0;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.15000000596046448;1;1
Swamp_Archer_Fast_Ranged2;Bow;0;0;true;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.30000001192092896;1;1;0;0;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;0;0;0;Small;2;0.30000001192092896;1;1
